Time,asks,bids,price
2020-06-22 02:00:00 UTC,13462316.3055919,15668039.9653219,9367.07125
2020-06-22 03:00:00 UTC,13452021.4856546,14568556.3365102,9370.5208467742
2020-06-22 04:00:00 UTC,13771804.165178,11593404.1421712,9387.57451923077
2020-06-22 05:00:00 UTC,14031895.7891436,10198932.6448643,9422.49321052632
2020-06-22 06:00:00 UTC,13604708.958742,10424199.9112074,9408.85973451327
2020-06-22 07:00:00 UTC,14521274.6869345,10444185.9889388,9419.48246268657
2020-06-22 08:00:00 UTC,14238431.149385,10444009.2484889,9414.67354545455
2020-06-22 09:00:00 UTC,14211298.419068,10439983.0199333,9417.22495726496
2020-06-22 10:00:00 UTC,14597042.3638713,10438167.1108786,9422.67927586207
2020-06-22 11:00:00 UTC,14936572.1028817,10581442.6660617,9432.20038888889
2020-06-22 12:00:00 UTC,15246195.4786659,9655053.23740045,9472.40044247788
2020-06-22 13:00:00 UTC,14822828.9067536,11023795.2446497,9474.95887387387
2020-06-22 14:00:00 UTC,14935544.9605523,10940623.7494348,9467.81138888889
2020-06-22 15:00:00 UTC,14988865.5764834,9569513.1322349,9475.79279661017
2020-06-22 16:00:00 UTC,19324269.2836089,8582063.34961199,9540.89615384616
2020-06-22 17:00:00 UTC,20062565.1177677,8078681.21849039,9584.39603448276
2020-06-22 18:00:00 UTC,19345140.36489,7722284.05695619,9586.90982300885
2020-06-22 19:00:00 UTC,19685307.241019,9623664.76368189,9571.71225409836
2020-06-22 20:00:00 UTC,19309898.9295958,9599115.15760119,9598.06398305085
2020-06-22 21:00:00 UTC,18930996.568735,8902944.62746437,9691.61103960396
2020-06-22 22:00:00 UTC,19681545.6467395,9016283.23666799,9662.53195833333
2020-06-22 23:00:00 UTC,19434282.5629993,8937612.93582803,9680.40840909091
2020-06-23 00:00:00 UTC,19020092.7160928,8951558.74566222,9688.46768115942
2020-06-23 01:00:00 UTC,19032191.4101851,9443080.55923485,9638.88655737705
2020-06-23 02:00:00 UTC,18935288.1945242,9660263.14086169,9642.61421487603
2020-06-23 03:00:00 UTC,18496559.9667425,10071548.1314137,9635.96359504132
2020-06-23 04:00:00 UTC,21977986.6985042,10685441.7093981,9632.73368181818
2020-06-23 05:00:00 UTC,22338315.0360488,11487888.7236536,9626.79732142857
2020-06-23 06:00:00 UTC,21884774.6007586,11294236.8143377,9621.86734126984
2020-06-23 07:00:00 UTC,21600009.6662675,10993473.0534809,9636.818
2020-06-23 08:00:00 UTC,18284132.0294546,11048889.8681179,9618.01007462687
2020-06-23 09:00:00 UTC,17822944.7375193,10414677.642913,9600.11565420561
2020-06-23 10:00:00 UTC,17817659.9751526,10110004.9263892,9592.290390625
2020-06-23 11:00:00 UTC,17933965.7710405,9810920.03493269,9617.30118110236
2020-06-23 12:00:00 UTC,18288921.2776882,9935605.71238228,9632.36449612403
2020-06-23 13:00:00 UTC,18367445.6594759,10242480.2945809,9633.37375
2020-06-23 14:00:00 UTC,18756727.842303,9906451.57987288,9650.047890625
2020-06-23 15:00:00 UTC,18968640.7314713,9915287.76603277,9664.64877777778
2020-06-23 16:00:00 UTC,18986249.848184,9790455.27880693,9669.56544354839
2020-06-23 17:00:00 UTC,18809926.4232275,9711449.07872286,9653.39416666667
2020-06-23 18:00:00 UTC,18976803.1876701,9424217.77935221,9660.14026515152
2020-06-23 19:00:00 UTC,18917354.9142616,9336670.96809618,9657.17504950495
2020-06-23 20:00:00 UTC,18863433.980725,9553520.45564542,9648.82616935484
2020-06-23 21:00:00 UTC,17944640.5925983,8765417.94372093,9634.21983333333
2020-06-23 22:00:00 UTC,18044433.104637,8860385.53446335,9634.05911764706
2020-06-23 23:00:00 UTC,17688562.749792,9611947.73908567,9609.29422131147
2020-06-24 00:00:00 UTC,18902161.3905552,10472210.5514702,9628.59327731093
