Time,asks,bids,price,bookratio_1_pct,bookratio_5_pct,bookratio_10_pct,order
20200627190000,2766279.25781831,4461416.19191246,9041.63113138686,0.4779630584132323,0.5722108674131703,0.30784022009318895,4
20200627200000,2062958.05619693,2256270.09505365,8953.92435185185,0.08957214703246234,0.5276512647966674,0.3264868162694763,2
20200627210000,2332251.51060253,2358295.41638503,8962.471709401709,0.011104962313477063,0.4433523193099825,0.30782089092394826,2
20200627220000,2278971.45910658,2000274.65644996,9014.4869140625,-0.13043972740041815,0.24953892457860943,0.19572746377281366,2
20200627230000,2152160.64986023,2185302.71213113,8992.53949640288,0.015282069037445622,0.3503835585433683,0.2493433062590719,2
20200628000000,2102482.83501871,2176103.08329077,8976.20162790698,0.03441675195730074,0.3594030692610877,0.2762033852903524,2
20200628010000,2173423.00232684,2376927.24366004,8962.68563636364,0.08950523427808284,0.44394533122429947,0.3194589520193054,2
20200628020000,2425839.00086236,2653631.37169683,8961.3938976378,0.08975158660716628,0.41029632898465884,0.30936688922685335,2
20200628030000,2415190.1829246003,2631364.76027175,8964.07,0.08572459715525638,0.4034460244326464,0.3048992419832223,2
20200628040000,2535208.21450885,2903609.11562963,8954.646958333331,0.13567871627586225,0.4538093793772712,0.3196761659119894,2
20200628050000,2561504.31695874,3094032.5572715,8962.710580357141,0.18888056508748316,0.4422469187560715,0.3315664536293674,2
20200628060000,2658283.13153145,2736669.89574445,8984.519961538459,0.029061339592394656,0.4057651358917925,0.3106604185496036,2
20200628070000,2575996.09311853,2597985.9051992,8994.277196261679,0.008500201388766808,0.3922502103977058,0.31403564073766566,2
20200628080000,3179178.70636465,2649904.81210463,9016.488344155841,-0.18209917560378278,0.33457824312116713,0.25598598856895904,2
20200628090000,3862875.35201561,2206299.76110862,9051.339622641508,-0.5600950199624483,0.2334242663221378,0.20691842108756606,2
20200628100000,3858426.9394062003,2061507.02122381,9056.665486725658,-0.6268222927230477,0.16881980093408308,0.19287913282456454,0
20200628110000,3806692.68292883,2188556.88277866,9056.07364661654,-0.5535183809459279,0.09465933035016785,0.1609195689623315,0
20200628120000,3452620.69969622,2198911.53688131,9038.98825203252,-0.4511710838069059,0.20117409614571502,0.18808677212700314,2
20200628130000,3408539.35097157,2369974.8996227,9046.89654471545,-0.36340449249238777,0.16522661044571782,0.18118198084617146,0
20200628140000,3308194.352163,2501090.14973745,9118.51827586207,-0.27967583087831216,-0.0903487039030826,-0.08865933973893751,0
20200628150000,3216224.87507394,2502906.23238499,9144.261335877858,-0.25075572305714006,-0.2112495551737059,-0.21275980253789367,2
20200628160000,3169882.61104802,2313925.64092297,9155.77524390244,-0.3147490621658155,-0.26109124140268763,-0.2136593868231324,0
20200628170000,3022615.02352622,2350856.07031108,9138.060166666659,-0.2513428114808691,-0.07437680139085981,-0.17263910261871823,2
20200628180000,3168983.08095835,2395862.26834182,9154.109071428571,-0.279667547169852,-0.15616086985846395,-0.10287741807787751,0
20200628190000,3275310.20672827,2374445.91018971,9146.90485714286,-0.32164847491833615,-0.09894810280936486,-0.09463776176373673,0
20200628200000,3015782.89019533,2295840.93428583,9119.00767326733,-0.27276026497993583,0.1103248894165153,-0.08599153435872393,2
20200628210000,3052479.55049861,2327312.51090083,9108.92672932331,-0.271240054648191,0.11820563268512463,-0.0799933793707702,2
20200628220000,2978134.34714117,2604230.33541118,9093.12941747573,-0.13415987156141176,0.16665178637478859,0.011819825894663087,2
20200628230000,3234101.99344749,2693061.01227201,9103.572097902099,-0.183072829072101,0.13788705412899108,-0.04903148735178653,2
20200629000000,4758739.95589537,2646655.80745928,9104.52040909091,-0.5866860344446234,-0.0061478412336087125,-0.11821443874132534,2
20200629010000,4911554.75256206,2594210.1704437,9120.93049645391,-0.6383084375281396,-0.02769824868383547,-0.15648892942749112,2
20200629020000,4748818.67454483,2560555.94436106,9124.694055944059,-0.6176714863392887,-0.05321502798463103,-0.17614142893278886,2
20200629030000,4281918.6087006,2680834.64119378,9103.18442982456,-0.4682730028914928,-0.0014094336720757651,-0.12073278379296254,2
20200629040000,4261303.0954542,2853913.70881122,9096.10267175573,-0.4008837210350834,0.03998297533322612,-0.06094517122565991,2
20200629050000,4682816.13876234,2812837.92687112,9107.3877037037,-0.5097057559196992,0.013900737289059117,-0.10553224877389543,2
20200629060000,4187960.5991482004,2991303.04295894,9091.173110236221,-0.33650479213881207,0.05770129833830238,-0.024674511695826323,2
20200629070000,3941278.69023848,2958547.19548436,9082.13536585366,-0.2868068758157726,0.02615014331077202,0.029818761977917822,0
20200629080000,3678133.43704794,3130048.61672123,9070.33011111111,-0.16135686837845375,0.03457688764305066,0.06905512241115813,0
20200629090000,4341841.29602269,3038823.91252934,9094.821375,-0.356827950209343,0.01010187536089843,-0.036562929126852946,2
20200629100000,4714788.94781926,2832951.1462627,9107.33375,-0.5093851770458739,-0.042220427538315015,-0.142274833230296,2
20200629110000,4302068.76137681,2868313.21907645,9082.526026785708,-0.40537188585482437,-0.013979019575044889,-0.0005449347247928594,0
20200629120000,4570630.20240525,2828702.34647816,9090.8678125,-0.4798330235861177,-0.01382975901631115,-0.03312241784718495,2
20200629130000,3235671.23459673,3035421.82347404,9049.05386861314,-0.06388599663267573,0.16562617156024353,0.08143508706962445,2
20200629140000,3302600.6942909,2945071.62959425,9059.463592233009,-0.11457710802164496,0.0625898495639096,0.06758638482974165,0
20200629150000,4067089.50075621,2910048.98066032,9084.751611570251,-0.33475772037802143,-0.09483241044018961,-0.10938128672700395,2
